gene,coordinates,chromosome,strand,paralog_group
YAL001C,"[(147594, 151006), (151097, 151166)]",chrI,-,YAL001C
YAL002W,"[(143707, 147531)]",chrI,+,YAL002W
YAL003W,"[(142174, 142253), (142620, 143160)]",chrI,+,YAL003W
YAL004W,"[(140760, 141407)]",chrI,+,YAL004W
YAL005C,"[(139503, 141431)]",chrI,-,YKL073W
YAL007C,"[(137698, 138345)]",chrI,-,YAL007C
YAL008W,"[(136914, 137510)]",chrI,+,YAL008W
YAL009W,"[(135854, 136633)]",chrI,+,YAL009W
YAL010C,"[(134184, 135665)]",chrI,-,YAL010C
YAL011W,"[(132199, 134076)]",chrI,+,YAL011W
YAL012W,"[(130799, 131983)]",chrI,+,YLL058W
YAL013W,"[(129270, 130487)]",chrI,+,YAL013W
YAL014C,"[(128252, 129019)]",chrI,-,YAL014C
YAL015C,"[(126903, 128102)]",chrI,-,YAL015C
YAL016C-A,"[(124755, 125069)]",chrI,-,YAL016C-A
YAL016C-B,"[(124307, 124492)]",chrI,-,YAL016C-B
YAL016W,"[(124879, 126786)]",chrI,+,YAL016W
YAL017W,"[(120225, 124295)]",chrI,+,YOL045W
YAL018C,"[(118564, 119541)]",chrI,-,YAL018C
YAL019W,"[(114919, 118314)]",chrI,+,YPL082C
YAL019W-A,"[(114250, 114819)]",chrI,+,YAL019W-A
YAL020C,"[(113614, 114615)]",chrI,-,YAL020C
YAL021C,"[(110846, 113359)]",chrI,-,YML118W
YAL022C,"[(108877, 110430)]",chrI,-,YAL022C
YAL023C,"[(106272, 108551)]",chrI,-,YDL095W
YAL024C,"[(101565, 105872)]",chrI,-,YAL024C
YAL025C,"[(100225, 101145)]",chrI,-,YAL025C
YAL026C,"[(95630, 99697)]",chrI,-,YIL048W
YAL026C-A,"[(95386, 95823)]",chrI,-,YAL026C-A
YAL027W,"[(94687, 95472)]",chrI,+,YAL027W
YAL028W,"[(92900, 94486)]",chrI,+,YAL028W
YAL029C,"[(87855, 92270)]",chrI,-,YMR109W
YAL030W,"[(87286, 87387), (87501, 87752)]",chrI,+,YKL196C
YAL031C,"[(84749, 87031)]",chrI,-,YAL031C
YAL031W-A,"[(84669, 84977)]",chrI,+,YAL031W-A
YAL032C,"[(83335, 84474)]",chrI,-,YAL032C
YAL033W,"[(82706, 83227)]",chrI,+,YAL033W
YAL034C,"[(80710, 81951)]",chrI,-,YAL034C
